品牌,品牌中文名,型号,产品线,价格,续航,最高时速,电池说明,电机功率,峰值功率,充电器与充电时间,制动,减震,车架材质,整车质量,最大载重,轴距,座高,长宽高,离地间隙,轮胎轮圈,智能化及其他,其它列_JSON,原始来源文件
Talaria,,STING_PRO_L1E,电动摩托车,约 26800 元（L1e 版参考）,120KM @ 25KM/H,45 千米/时 (L1e Standard),72 伏/40Ah (2880 瓦时) | Samsung 50s | 72 伏,5500 瓦 | AIR-COOLED DC IPM,8500 瓦 (L1e Standard),TFT MULTI-FUNCTION DISPLAY | 4-Level Regen + Regen Switch | E/S/H,FR./RR. HYDRAULIC DISC BRAKE,Adjustable Hi-Performance Dual Spring Fork with 200mm±2 Travel | Adjustable 85mm±2 Travel Diameter Reducing Spring Shock Absorber with Linkage,NO.6061 T4 &T6 ALUMINUM ALLOY | FORGED BY 6000 TONS PRESSURE,79kg（Battery Pack Included）,,1250mm,840mm,1880mm×770mm×1088mm,280mm,"CST Brand, Fr. 70/100-19 / Rr.80/100-19",,"{""HANDLEBAR LENGTH"": ""760 毫米"", ""MAX. GRADEABILITY"": ""¡Ý45°"", ""MAX. LOADING ABILITY"": ""100 千克"", ""MOTOR EFFICIENCY"": ""92%"", ""TORQUE ON REAR WHEEL"": ""500N.m"", ""一级传动"": ""Gearbox"", ""二级传动"": ""CHAIN"", ""大灯"": ""LED"", ""峰值扭矩"": ""55N.m"", ""控制器类型"": ""FOC"", ""齿比"": ""9.1""}",talaria.csv
Zero Motorcycles,,型号：SR/S,电动摩托车,约 152214 元（MSRP 20995 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：275 公里；高速/通勤续航：187 公里,最高时速：200 千米/时 (200 千米/时)；持续最高时速：171 千米/时 (170 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：17.3 千瓦时；标称容量：15.1 千瓦时,"峰值扭矩：190 Nm；类型：Z-Force 75-10 enhanced thermal efficiency, passively air-cooled, interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：111 hp (83 千瓦) @ 5,600 rpm",充电器类型：6.6 千瓦 integrated；家用充电时间：7.0 小时 （20–80%） / 11.1 小时 （0–95%）；二级充电时间：1.4 小时 （20–80%） / 2.2 小时 （0–95%）,"前制动：Bosch Advanced MSC, dual J-Juan radial 4-piston calipers with radial master cylinder, 320 x 5 毫米 discs；后制动：Bosch Advanced MSC, J-Juan single piston floating caliper, 240 x 4.5 毫米 disc","前悬挂：Showa 43 毫米 Big Piston Separate Function forks, with adjustable spring preload, compression and rebound damping；后悬挂：Showa 40 毫米 piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping；前悬挂行程：4.72 in (120 毫米)；后悬挂行程：5.51 in (140 毫米)",,整备质量：235 千克 (235 千克),载重能力：218.6 千克 (219 千克),"轴距：57.1 in (1,450 毫米)",座高：31.0 in (787 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-17；后轮胎：Pirelli Diablo Rosso III 180/55-17；前轮：3.50 x 17；后轮：5.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""24.5°"", ""单次充电参考费用"": ""约 1.93 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""380 MPGe (0.62 l/100 km)"", ""控制器"": ""高效率、高功率密度, 900 安培三相交流控制器，带再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 20T, Poly 链条? HTD? 碳纤维? 皮带"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""3.7 in (94 毫米)"", ""选装座高（低）"": ""30.3 in (770 毫米)"", ""选装座高（高）"": ""31.9 in (810 毫米)"", ""选配 6 千瓦快充"": ""43 分钟 （20–80%） / 1.1 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
Zero Motorcycles,,型号：SR/F,电动摩托车,约 148589 元（MSRP 20495 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：283 公里；高速/通勤续航：188 公里,最高时速：200 千米/时 (200 千米/时)；持续最高时速：171 千米/时 (170 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：17.3 千瓦时；标称容量：15.1 千瓦时,"峰值扭矩：190 Nm；类型：Z-Force 75-10 enhanced thermal efficiency, passively air-cooled, interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：111 hp (83 千瓦) @ 5,600 rpm",充电器类型：6.6 千瓦 integrated；家用充电时间：7.0 小时 （20–80%） / 11.1 小时 （0–95%）；二级充电时间：1.4 小时 （20–80%） / 2.2 小时 （0–95%）,"前制动：Bosch Advanced MSC, dual J-Juan radial 4-piston calipers with radial master cylinder, 320 x 5 毫米 discs；后制动：Bosch Advanced MSC, J-Juan single piston floating caliper, 240 x 4.5 毫米 disc","前悬挂：Showa 43 毫米 Big Piston Separate Function forks, with adjustable spring preload, compression and rebound damping；后悬挂：Showa 40 毫米 piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping；前悬挂行程：4.72 in (120 毫米)；后悬挂行程：5.51 in (140 毫米)",,整备质量：226.8 千克 (227 千克),载重能力：226.8 千克 (227 千克),"轴距：57.1 in (1,450 毫米)",座高：31.0 in (787 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-17；后轮胎：Pirelli Diablo Rosso III 180/55-17；前轮：3.50 x 17；后轮：5.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""24.5°"", ""单次充电参考费用"": ""约 1.93 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""380 MPGe (0.62 l/100 km)"", ""控制器"": ""高效率、高功率密度, 900 安培三相交流控制器，带再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 20T, Poly 链条? HTD? 碳纤维? 皮带"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""3.7 in (94 毫米)"", ""选装座高（低）"": ""30.3 in (770 毫米)"", ""选装座高（高）"": ""31.9 in (810 毫米)"", ""选配 6 千瓦快充"": ""43 分钟 （20–80%） / 1.1 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
Zero Motorcycles,,型号：S,电动摩托车,约 108714 元（MSRP 14995 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：248 公里；高速/通勤续航：162 公里,最高时速：167 千米/时 (167 千米/时)；持续最高时速：161 千米/时 (161 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：14.4 千瓦时；标称容量：12.6 千瓦时,"峰值扭矩：132 Nm；类型：Z-Force 75-7 enhanced thermal efficiency, passively air-cooled, interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：68 hp (83 千瓦) @ 4,500 rpm",充电器类型：3.0 千瓦 integrated；家用充电时间：5.8 小时 （20–80%） / 9.2 小时 （0–95%）；二级充电时间：2.5 小时 （20–80%） / 4.0 小时 （0–95%）,"前制动：Bosch Advanced MSC, dual J-Juan radial 4-piston calipers with radial master cylinder, 320 x 5 毫米 discs；后制动：Bosch Advanced MSC, J-Juan single piston floating caliper, 240 x 4.5 毫米 disc","前悬挂：Showa 43 毫米 Big Piston Separate Function forks, with adjustable spring preload, compression and rebound damping；后悬挂：Showa 40 毫米 piston, piggy-back reservoir shock with adjustable spring preload, compression and rebound damping；前悬挂行程：4.72 in (120 毫米)；后悬挂行程：5.51 in (140 毫米)",,整备质量：223.2 千克 (223 千克),载重能力：230.4 千克 (231 千克),"轴距：57.1 in (1,450 毫米)",座高：31.0 in (787 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-17；后轮胎：Pirelli Diablo Rosso III 180/55-17；前轮：3.50 x 17；后轮：5.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""24.5°"", ""单次充电参考费用"": ""约 1.60 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""380 MPGe (0.62 l/100 km)"", ""控制器"": ""高效率、高功率密度, 600 Amp, 三相交流控制器 with 再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 20T, Poly 链条? HTD? 碳纤维? 皮带"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""3.7 in (94 毫米)"", ""选装座高（低）"": ""30.3 in (770 毫米)"", ""选装座高（高）"": ""31.9 in (810 毫米)"", ""选配 6 千瓦快充"": ""49 分钟 （20–80%） / 1.3 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
Zero Motorcycles,,型号：DSR/X,电动摩托车,约 166714 元（MSRP 22995 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：288 公里；高速/通勤续航：172 公里,最高时速：180 千米/时 (180 千米/时)；持续最高时速：161 千米/时 (161 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：17.3 千瓦时；标称容量：15.1 千瓦时,"峰值扭矩：229 Nm；类型：Z-Force 75-7 enhanced thermal efficiency, passively air-cooled, interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：100 hp (75 千瓦) @ 3,500 rpm",充电器类型：6.6 千瓦 integrated；家用充电时间：7.0 小时 （20–80%） / 11.1 小时 （0–95%）；二级充电时间：1.4 小时 （20–80%） / 2.2 小时 （0–95%）,"前制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, dual J-Juan radial 4-piston calipers with radial master cylinder, 320x5 毫米 discs；后制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, J-Juan 2x25 毫米 piston floating caliper, 265x4.5 毫米 disc","前悬挂：Showa 47 毫米 Separate Function Cartridge Forks with adjustable spring preload, compression and rebound damping；后悬挂：Showa 46 毫米 piston, piggy-back reservoir shock with adjustable tool-less spring preload, compression and rebound damping；前悬挂行程：7.48 in (190 毫米)；后悬挂行程：7.48 in (190 毫米)",,整备质量：247.2 千克 (247 千克),载重能力：251.7 千克 (252 千克),"轴距：60.0 in (1,525 毫米)",座高：32.6 in (828 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-19；后轮胎：Pirelli Diablo Rosso III 170/60-17；前轮：3.00 x 19；后轮：4.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""25°"", ""单次充电参考费用"": ""约 1.93 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""398MPGe (0.59 l/100 km)"", ""控制器"": ""高效率、高功率密度, 900 安培三相交流控制器，带再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 22T, Poly 链条? HTD? 碳纤维? 皮带,\nMudport Wheel Sprocket"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""4.3 in (109 毫米)"", ""选装座高（低）"": ""31.7 in (805 毫米)"", ""选装座高（高）"": ""34.1 in (865 毫米)"", ""选配 6 千瓦快充"": ""43 分钟 （20–80%） / 1.1 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
Zero Motorcycles,,型号：DSR,电动摩托车,约 144964 元（MSRP 19995 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：249 公里；高速/通勤续航：161 公里,最高时速：167 千米/时 (167 千米/时)；持续最高时速：161 千米/时 (161 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：15.6 千瓦时；标称容量：13.6 千瓦时,"峰值扭矩：195 Nm；类型：Z-Force 75-10X enhanced thermal efficiency, passively air-cooled, torque optimized interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：80 hp (60 千瓦) @ 3,650 rpm",充电器类型：3.3 千瓦 integrated；家用充电时间：6.3 小时 （20–80%） / 10.0 小时 （0–95%）；二级充电时间：2.5 小时 （20–80%） / 3.9 小时 （0–95%）,"前制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, dual J-Juan radial 4-piston calipers with radial master cylinder, 320x5 毫米 discs；后制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, J-Juan 2x25 毫米 piston floating caliper, 265x4.5 毫米 disc","前悬挂：Showa 47 毫米 Separate Function Cartridge Forks with adjustable spring preload, compression and rebound damping；后悬挂：Showa 46 毫米 piston, piggy-back reservoir shock with adjustable tool-less spring preload, compression and rebound damping；前悬挂行程：7.48 in (190 毫米)；后悬挂行程：7.48 in (190 毫米)",,整备质量：242.2 千克 (242 千克),载重能力：256.7 千克 (257 千克),"轴距：60.0 in (1,525 毫米)",座高：32.6 in (828 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-19；后轮胎：Pirelli Diablo Rosso III 170/60-17；前轮：3.00 x 19；后轮：4.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""25°"", ""单次充电参考费用"": ""约 1.74 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""398MPGe (0.59 l/100 km)"", ""控制器"": ""高效率、高功率密度, firmware-limited 765 Amp, 三相交流控制器 with 再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 22T, Poly 链条? HTD? 碳纤维? 皮带,\nMudport Wheel Sprocket"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""4.3 in (109 毫米)"", ""选装座高（低）"": ""31.7 in (805 毫米)"", ""选装座高（高）"": ""34.1 in (865 毫米)"", ""选配 6 千瓦快充"": ""53 分钟 （20–80%） / 1.4 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
Zero Motorcycles,,型号：DS,电动摩托车,约 115964 元（MSRP 15995 USD × 7.25 参考汇率，非中国官方零售价）,城市续航：232 公里；高速/通勤续航：157 公里,最高时速：167 千米/时 (167 千米/时)；持续最高时速：121 千米/时 (120 千米/时),动力电池包：Z-Force@ Li-Ion intelligent integrated；最大容量：14.4 千瓦时；标称容量：12.6 千瓦时,"峰值扭矩：132 Nm；类型：Z-Force 75-7 enhanced thermal efficiency, passively air-cooled, interior permanent magnet AC motor","后轮峰值扭矩：无；峰值功率：68 hp (51 千瓦) @ 4,500 rpm","充电器类型：3.0 千瓦, integrated；家用充电时间：5.8 小时 （20–80%） / 9.2 小时 （0–95%）；二级充电时间：2.5 小时 （20–80%） / 4.0 小时 （0–95%）","前制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, dual J-Juan radial 4-piston calipers with radial master cylinder, 320x5 毫米 discs；后制动：Bosch Advanced MSC with Combined Braking (eCBS), Vehicle Hold Control (VHC) and Off-Road mode, J-Juan 2x25 毫米 piston floating caliper, 265x4.5 毫米 disc","前悬挂：Showa 47 毫米 Separate Function Cartridge Forks with adjustable spring preload, compression and rebound damping；后悬挂：Showa 46 毫米 piston, piggy-back reservoir shock with adjustable tool-less spring preload, compression and rebound damping；前悬挂行程：7.48 in (190 毫米)；后悬挂行程：7.48 in (190 毫米)",,整备质量：239 千克 (239 千克),载重能力：259.9 千克 (260 千克),"轴距：60.0 in (1,525 毫米)",座高：32.6 in (828 毫米),,,前轮胎：Pirelli Diablo Rosso III 120/70-19；后轮胎：Pirelli Diablo Rosso III 170/60-17；前轮：3.00 x 19；后轮：4.50 x 17,,"{""传动方式"": ""无离合器直驱"", ""前倾角"": ""25°"", ""单次充电参考费用"": ""约 1.60 美元"", ""可拆卸电池"": ""无"", ""城市工况等价燃油经济性"": ""398MPGe (0.59 l/100 km)"", ""控制器"": ""高效率、高功率密度, 600 Amp, 三相交流控制器 with 再生制动减速"", ""整车质保"": ""2 年"", ""末级传动"": ""90T / 20T, Poly 链条? HTD? 碳纤维? 皮带,\nMudport Wheel Sprocket"", ""电气输入"": ""无"", ""电池包质保"": ""5 年/不限 英里"", ""越野离地间隙"": ""4.3 in (109 毫米)"", ""选装座高（低）"": ""31.7 in (805 毫米)"", ""选装座高（高）"": ""34.1 in (865 毫米)"", ""选配 6 千瓦快充"": ""49 分钟 （20–80%） / 1.3 小时 （0–95%）"", ""配备单只选装充电器时"": ""无"", ""配备最多选装充电器时"": ""无"", ""防护等级"": ""无""}",zeros.csv
